Counterparty,Instrument,USDSpots,USDFwdsSwapsTotal,USDSpotRank,USDFwdsSwapsRank
ANZFX,AUDUSD,52673639.0,0.0,13.0,0
ANZFX,EURUSD,29022792.0,0.0,15.0,0
ANZFX,NZDUSD,9200601.0,0.0,14.0,0
ANZFX,USDCAD,8000000.0,0.0,15.0,0
ANZFX,USDCHF,23130000.0,0.0,14.0,0
ANZFX,USDJPY,20220000.0,0.0,13.0,0
BARCCAP,AUDUSD,228459267.0,22999293.0,2.0,12.0
BARCCAP,EURCZK,9818230.0,0.0,4.0,0
BARCCAP,EURGBP,6724171.0,5223637.0,6.0,1.0
BARCCAP,EURHUF,20918956.0,1542886.0,3.0,2.0
BARCCAP,EURNOK,30724862.0,17121835.0,5.0,2.0
BARCCAP,EURPLN,12135999.0,498484.0,3.0,6.0
BARCCAP,EURSEK,48634182.0,16775200.0,5.0,4.0
BARCCAP,EURUSD,253874990.0,1559991.0,3.0,15.0
BARCCAP,GBPUSD,311736354.0,13709245.0,2.0,11.0
BARCCAP,NZDUSD,96498336.0,22286019.0,3.0,6.0
BARCCAP,USDBRL,0.0,51541046.0,0,3.0
BARCCAP,USDCAD,0.0,13170700.0,0,4.0
BARCCAP,USDCHF,0.0,4015311.0,0,10.0
BARCCAP,USDCLP,0.0,32420000.0,0,1.0
BARCCAP,USDCNH,0.0,4212732.0,0,6.0
BARCCAP,USDCOP,0.0,5429783.0,0,3.0
BARCCAP,USDHUF,0.0,905509.0,0,5.0
BARCCAP,USDILS,0.0,5177338.0,0,4.0
BARCCAP,USDINR,0.0,13870000.0,0,11.0
BARCCAP,USDJPY,0.0,53412346.0,0,6.0
BARCCAP,USDKRW,0.0,18910000.0,0,4.0
BARCCAP,USDMXN,0.0,462671.0,0,8.0
BARCCAP,USDNOK,0.0,715945.0,0,6.0
BARCCAP,USDPHP,0.0,4465704.0,0,6.0
BARCCAP,USDPLN,0.0,89249.0,0,8.0
BARCCAP,USDSEK,0.0,48818.0,0,9.0
BARCCAP,USDSGD,0.0,5662820.0,0,5.0
BARCCAP,USDTHB,0.0,22505723.0,0,2.0
BARCCAP,USDTWD,0.0,9740000.0,0,10.0
BARCCAP,USDZAR,0.0,4191527.0,0,7.0
BNPFX,AUDUSD,3904200.0,12316910.0,17.0,14.0
BNPFX,EURCZK,20917613.0,132323.0,2.0,7.0
BNPFX,EURHUF,26514181.0,88330.0,2.0,7.0
BNPFX,EURNOK,0.0,99547.0,0,9.0
BNPFX,EURPLN,10525901.0,44075.0,4.0,9.0
BNPFX,EURSEK,0.0,165500.0,0,8.0
BNPFX,EURUSD,7574810.0,38866840.0,17.0,11.0
BNPFX,GBPUSD,1263110.0,3393327.0,16.0,12.0
BNPFX,NZDUSD,609290.0,8477352.0,17.0,11.0
BNPFX,USDBRL,0.0,54400000.0,0,2.0
BNPFX,USDCAD,1000000.0,0.0,17.0,0
BNPFX,USDCHF,1000000.0,0.0,17.0,0
BNPFX,USDCLP,0.0,183039.0,0,7.0
BNPFX,USDCNH,41160000.0,5740726.0,1.0,5.0
BNPFX,USDCOP,0.0,3361299.0,0,4.0
BNPFX,USDCZK,0.0,616377.0,0,4.0
BNPFX,USDHUF,0.0,65181.0,0,7.0
BNPFX,USDIDR,0.0,2770000.0,0,7.0
BNPFX,USDILS,0.0,2310078.0,0,5.0
BNPFX,USDINR,0.0,142800000.0,0,1.0
BNPFX,USDJPY,1000000.0,22712870.0,17.0,7.0
BNPFX,USDKRW,0.0,12070000.0,0,5.0
BNPFX,USDMXN,56510000.0,0.0,2.0,0
BNPFX,USDNOK,0.0,1217095.0,0,5.0
BNPFX,USDPHP,0.0,8950000.0,0,3.0
BNPFX,USDPLN,0.0,140116.0,0,5.0
