,How old are you?,How many Rodys do you own?,How tall are you?,How many siblings do you have?,What color is your hair?,How many years have you attended Aoba?
,12,0,148,1,black,0
,11,0,157,1,brown,2
,11,1,150,1,Black,1
,12,1,159,4,"Black, pink",6
,12,1,0,7,bro,0
,11,1,156.8,0,Dark brown,7
,12,1,153,1,brown,0
,11,1,0,1,black,0
,12,1,158,0,Brown,6
,12,1,155,1,black and a little bit of dark brown,4
,11,1,152,1,Dark brown and black,5
,12,1,159,1,brown and black(I think),1
,12,1,158,7,black,3
,12,1,148,2,brown,8
,11,1,145,2,brown black,2
,12,1,144,2,black and brown,5
,11,1,135,2,dark brown or black,2
,12,1,153,1,black,9
,12,1,150,1,black,9
,11,1,152,0,brown,3
,11,1,153,1,Black and a little orange,8
,11,1,0,0,dark brown,0
,12,1,153,2,dark brown,6
,12,1,160,1,black,6
,12,1,160,1,Brown,5
,11,1,147,1,dark brown,8
,12,1,159,1,Black,7
,12,1,139,0,Brownish Black,7
,12,1,151,0,brown,7
,11,1,145 or more,old sister,black and brown ,10
,11,1,145,1,black and brown,8
,11,1,147,0,black,4
,12,1,162,10,black,6
,13,1,153,0,black and brown ,2
,11,1,155,1,Black outside and orangish& yellow(?) inside,10
,11,1,155,1,Outside black inside orangish/yellowish(?),10
,12,1,145,0,black with a little brown in it ,8
,11,1,162,0,Brown,2
,12,1,151,0,Brownish black,1
,12,1,9,0,green (dark brown),0
,11,2,154,1,brown,7
,11,2,152,0,dark brown and a little yellow,5
,12,2,156,0,black,1
,12,2,153,2,Dark brown ,6
,11,2,138,1,brown,4
,12,2,156,0,black,0
,12,2,154,1,blond,3
,12,3,164,1,Coffee brown,6
,11,5,149,3,brown,3
,11,8,148,2,dark brown,6
,12,100,150,1,black,１
,12,100,150,1,black,1
,12,3,6,1,coffee brown,6
,12,1,150,1,black,0
,12,1,148,5,black,9
,12,1,159,4,black and pink,6
,12,1,148,5,black,9
,12,1,153,2,dark brown,7
mean,11.63793103,4.75862069,139.0666667,1.526315789,#DIV/0!,4.684210526
median,12,1,152,1,#NUM!,5
mode,0.519725834,18.19225818,42.97644427,1.955808776,#DIV/0!,3.151858266
