Species,Gender,Lifespan
Dog,Female,9
Cat,Male,14
Rabbit,Male,5
Cat,Female,1
Cat,Female,3
Mouse,Female,2
Rabbit,Male,12
Rabbit,Female,8
Rabbit,Male,11
Cat,Male,6
Dog,Female,9
Rabbit,Female,4
Cat,Male,1
Mouse,Male,2
Dog,Female,17
Mouse,Female,2
Dog,Female,20
Cat,Male,12
Human,Male,39
Dog,Male,2
Mouse,Male,3
Cat,Male,1
Dog,Male,5
Human,Female,56
Human,Male,81
Rabbit,Male,11
Rabbit,Male,1
Mouse,Female,2
Dog,Male,2
Dog,Male,5
Rabbit,Female,1
Dog,Male,1
Dog,Male,19
Human,Male,2
Rabbit,Male,5
Cat,Male,12
Rabbit,Female,10
Cat,Female,16
Human,Female,70
Mouse,Male,4
Dog,Male,4
Human,Male,55
Dog,Female,11
Mouse,Male,4
Mouse,Male,3
Human,Female,17
Mouse,Male,3
Cat,Female,6
Mouse,Female,4
Dog,Female,5
Dog,Male,20
Dog,Male,2
Dog,Male,6
Cat,Male,6
Rabbit,Male,11
Human,Male,16
Dog,Male,1
Mouse,Female,1
Dog,Male,6
Mouse,Female,4
Mouse,Male,1
Dog,Male,3
Cat,Male,4
Mouse,Female,4
Mouse,Female,3
Dog,Female,4
Mouse,Female,3
Mouse,Male,2
Dog,Female,3
Dog,Male,19
Human,Male,20
Cat,Female,16
Cat,Female,7
Mouse,Female,4
Cat,Female,9
Mouse,Female,1
Human,Female,40
Dog,Female,7
Dog,Female,18
Dog,Male,8
Cat,Female,1
Human,Female,11
Cat,Male,12
Cat,Female,9
Human,Male,89
Human,Male,50
Human,Female,23
Human,Male,31
Dog,Male,10
Rabbit,Male,3
Rabbit,Male,7
Human,Female,16
Rabbit,Male,10
Rabbit,Female,9
Human,Male,60
Rabbit,Male,1
Cat,Male,2
Mouse,Male,1
Mouse,Female,4
Human,Female,12
